results
"{'normal_moves': {9: [16], 18: [27], 20: [27, 29], 22: [29, 31]}, 'normal_captures': {25: [43]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31]}, 'normal_captures': {32: [50]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31]}, 'normal_captures': {32: [50]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31]}, 'normal_captures': {50: [36]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31]}, 'normal_captures': {50: [36]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31]}, 'normal_captures': {50: [36]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31]}, 'normal_captures': {50: [36]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31], 36: [43]}, 'normal_captures': {36: [54]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31]}, 'normal_captures': {50: [36]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31], 36: [43]}, 'normal_captures': {36: [54]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31]}, 'normal_captures': {50: [36]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31]}, 'normal_captures': {50: [36]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31]}, 'normal_captures': {50: [36]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31], 36: [43]}, 'normal_captures': {36: [54]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31], 36: [43]}, 'normal_captures': {36: [54]}}"
"{'normal_moves': {0: [9], 2: [9], 16: [25], 18: [25, 27], 20: [27, 29], 22: [29, 31], 36: [43]}, 'normal_captures': {36: [54]}}"
