game_history,scores,winner
"[('b', (41, 32), 0), ('r', (16, 25), 0), ('b', (45, 36), 0), ('r', (9, 16), 0), ('b', (54, 45), 0), ('r', (20, 29), 0), ('b', (61, 54), 0), ('r', (0, 9), 0), ('b', (48, 41), 0), ('r', (11, 20), 0), ('b', (57, 48), 0), ('r', (4, 11), 0), ('b', (41, 34), 0), ('r', (18, 27), 0), ('b', (36, 18), -2), ('b', (18, 4), -9), ('r', (9, 18), 0), ('b', (48, 41), 0), ('r', (2, 9), 0), ('b', (4, 11), 0), ('r', (20, 2), -20), ('b', (47, 38), 0), ('r', (29, 47), 2), ('r', (47, 61), -2), ('b', (63, 54), 0), ('r', (61, 47), 8), ('b', (45, 36), 0), ('r', (2, 11), 0), ('b', (36, 27), 0), ('r', (18, 36), 9), ('b', (32, 18), -5), ('b', (18, 4), -19), ('r', (9, 18), 0), ('b', (4, 25), -28), ('r', (47, 54), 0), ('b', (43, 29), 3), ('r', (22, 36), -15), ('b', (34, 27), 0), ('r', (16, 34), 0), ('r', (34, 20), 0), ('b', (50, 43), 0), ('r', (36, 50), -12), ('r', (50, 32), 99), ('b', (59, 50), 0), ('r', (54, 61), 0), ('b', (50, 41), 0), ('r', (61, 43), 120), ('b', (41, 34), 0), ('r', (43, 25), 28)]","{'b': -60, 'r': 199}",r
"[('b', (43, 34), 0), ('r', (16, 25), 0), ('b', (34, 16), 2), ('r', (18, 25), 0), ('b', (16, 34), -6), ('r', (11, 18), 0), ('b', (47, 38), 0), ('r', (2, 11), 0), ('b', (34, 25), 0), ('r', (18, 32), 60), ('b', (38, 29), 0), ('r', (20, 38), 10), ('b', (45, 31), -6), ('r', (9, 16), 0), ('b', (54, 45), 0), ('r', (11, 18), 0), ('b', (41, 34), 0), ('r', (16, 25), 0), ('b', (34, 16), -2), ('r', (0, 9), 0), ('b', (16, 2), -5), ('r', (4, 11), 0), ('b', (2, 20), -144), ('r', (13, 27), 12), ('b', (31, 13), -10), ('r', (6, 20), 11), ('b', (45, 38), 0), ('r', (32, 41), 0), ('b', (48, 34), 0), ('r', (27, 41), 0), ('b', (50, 32), 9), ('r', (20, 29), 0), ('b', (38, 20), 77), ('r', (18, 25), 0), ('b', (32, 18), -8), ('r', (15, 22), 0), ('b', (52, 43), 0), ('r', (22, 29), 0), ('b', (20, 38), -7)]","{'b': -106, 'r': 93}",r
"[('b', (43, 36), 0), ('r', (20, 29), 0), ('b', (41, 34), 0), ('r', (29, 43), 36), ('r', (43, 25), -3), ('b', (47, 38), 0), ('r', (11, 20), 0), ('b', (38, 31), 0), ('r', (2, 11), 0), ('b', (54, 47), 0), ('r', (25, 32), 0), ('b', (50, 43), 0), ('r', (16, 25), 0), ('b', (59, 50), 0), ('r', (9, 16), 0), ('b', (45, 38), 0), ('r', (20, 29), 0), ('b', (38, 20), -10), ('b', (20, 2), 0), ('r', (0, 9), 0), ('b', (2, 20), 0), ('r', (13, 27), -4), ('b', (31, 13), -5), ('r', (4, 22), 2), ('b', (50, 41), 0), ('r', (32, 50), 14), ('r', (50, 36), 9), ('b', (52, 43), 0), ('r', (36, 50), 16), ('b', (57, 43), -66), ('r', (22, 29), 0), ('b', (61, 52), 0), ('r', (25, 32), 0), ('b', (47, 38), 0), ('r', (29, 47), 15), ('b', (48, 41), 0), ('r', (32, 50), 4), ('r', (50, 36), 15), ('b', (52, 45), 0), ('r', (36, 54), -1), ('b', (63, 45), 6), ('r', (6, 13), 0), ('b', (45, 38), 0), ('r', (47, 29), 4)]","{'b': -75, 'r': 95}",r
"[('b', (41, 34), 0), ('r', (18, 25), 0), ('b', (43, 36), 0), ('r', (25, 43), 9), ('r', (43, 29), -1), ('b', (52, 43), 0), ('r', (9, 18), 0), ('b', (45, 38), 0), ('r', (18, 25), 0), ('b', (61, 52), 0), ('r', (11, 18), 0), ('b', (50, 41), 0), ('r', (0, 9), 0), ('b', (41, 34), 0), ('r', (2, 11), 0), ('b', (48, 41), 0), ('r', (18, 27), 0), ('b', (41, 32), 0), ('r', (27, 41), -4), ('b', (32, 50), 10), ('r', (11, 18), 0), ('b', (43, 34), 0), ('r', (25, 43), -70), ('r', (43, 61), 1), ('b', (59, 52), 0), ('r', (61, 43), -112), ('b', (50, 36), 14), ('r', (29, 43), 0), ('b', (38, 29), 0), ('r', (20, 38), 5), ('b', (47, 29), 0), ('r', (22, 36), -13), ('b', (54, 47), 0), ('r', (4, 11), 0), ('b', (57, 48), 0), ('r', (11, 20), 0), ('b', (48, 41), 0), ('r', (15, 22), 0), ('b', (63, 54), 0), ('r', (6, 15), 0), ('b', (41, 32), 0), ('r', (16, 25), 0), ('b', (47, 38), 0), ('r', (9, 16), 0), ('b', (38, 29), 0), ('r', (20, 38), 1), ('b', (54, 47), 0), ('r', (13, 20), 0), ('b', (47, 29), 0), ('b', (29, 11), -6), ('r', (18, 4), -7), ('b', (32, 18), -7), ('r', (4, 11), 0), ('b', (18, 4), -6), ('b', (4, 31), 0), ('r', (15, 22), 0), ('b', (31, 4), 0), ('r', (16, 25), 0), ('b', (4, 32), -44), ('r', (36, 45), 0), ('b', (32, 4), 0), ('r', (43, 50), 0), ('b', (4, 31), 0), ('r', (45, 52), 0), ('b', (31, 59), -4), ('b', (59, 32), 22)]","{'b': -43, 'r': -191}",b
"[('b', (45, 38), 0), ('r', (16, 25), 0), ('b', (43, 36), 0), ('r', (9, 16), 0), ('b', (38, 29), 0), ('r', (20, 38), 5), ('b', (47, 29), 0), ('r', (11, 20), 0), ('b', (29, 11), 40), ('r', (2, 20), -20), ('b', (41, 32), 0), ('r', (4, 11), 0), ('b', (36, 27), 0), ('r', (20, 34), -1), ('b', (48, 41), 0), ('r', (34, 48), -5), ('b', (50, 41), 0), ('r', (48, 34), 1), ('b', (57, 48), 0), ('r', (11, 20), 0), ('b', (54, 47), 0), ('r', (20, 29), 0), ('b', (52, 43), 0), ('r', (34, 52), -50), ('b', (59, 45), 3), ('r', (0, 9), 0), ('b', (45, 36), 0), ('r', (29, 43), 64), ('b', (47, 38), 0), ('r', (13, 20), 0), ('b', (63, 54), 0), ('r', (6, 13), 0), ('b', (54, 47), 0), ('r', (18, 27), 0), ('b', (32, 18), -5), ('b', (18, 36), -8), ('b', (36, 50), -1), ('r', (9, 18), 0), ('b', (61, 52), 0), ('r', (16, 25), 0), ('b', (52, 43), 0), ('r', (20, 27), 0), ('b', (38, 31), 0), ('r', (25, 32), 0), ('b', (43, 34), 0), ('r', (27, 41), 0), ('r', (41, 59), 6), ('b', (47, 38), 0), ('r', (13, 20), 0), ('b', (31, 13), -16), ('b', (13, 27), 4), ('b', (27, 9), -4), ('r', (59, 31), -12), ('b', (48, 41), 0), ('r', (32, 50), -18), ('b', (9, 2), 0), ('r', (15, 22), 0), ('b', (2, 29), 0), ('r', (22, 36), 14)]","{'b': 13, 'r': -29}",b
"[('b', (41, 34), 0), ('r', (18, 25), 0), ('b', (50, 41), 0), ('r', (9, 18), 0), ('b', (45, 36), 0), ('r', (0, 9), 0), ('b', (36, 27), 0), ('r', (18, 36), -6), ('r', (36, 50), -1), ('r', (50, 32), 21), ('b', (47, 38), 0), ('r', (25, 43), 9), ('b', (52, 34), -10), ('r', (11, 18), 0), ('b', (57, 50), 0), ('r', (4, 11), 0), ('b', (50, 43), 0), ('r', (16, 25), 0), ('b', (34, 16), 6), ('r', (18, 25), 0), ('b', (16, 34), 1), ('r', (9, 16), 0), ('b', (34, 25), 0), ('r', (32, 18), 3), ('b', (48, 41), 0), ('r', (2, 9), 0), ('b', (41, 32), 0), ('r', (16, 25), 0), ('b', (54, 45), 0), ('r', (9, 16), 0), ('b', (59, 52), 0), ('r', (18, 27), 0), ('b', (32, 18), 2), ('b', (18, 36), 7), ('r', (11, 18), 0), ('b', (38, 29), 0), ('r', (20, 38), 10), ('b', (45, 31), -42), ('r', (18, 25), 0), ('b', (36, 27), 0), ('r', (13, 20), 0), ('b', (31, 13), -16), ('r', (20, 34), 0), ('b', (52, 45), 0), ('r', (6, 20), 77), ('b', (61, 52), 0), ('r', (20, 27), 0), ('b', (45, 36), 0), ('r', (27, 45), -3), ('r', (45, 59), -6), ('b', (63, 54), 0), ('r', (34, 52), 33), ('b', (54, 47), 0), ('r', (59, 50), 0), ('b', (47, 38), 0), ('r', (15, 22), 0), ('b', (38, 31), 0), ('r', (22, 29), 0), ('b', (31, 22), 0), ('r', (29, 15), -2)]","{'b': -52, 'r': 113}",r
new
game_history,scores,winner
"[('b', (41, 34), 0), ('r', (16, 25), 0), ('b', (34, 16), -13), ('r', (18, 25), 0), ('b', (16, 34), 9), ('r', (9, 16), 0), ('b', (47, 38), 0), ('r', (11, 18), 0), ('b', (43, 36), 0), ('r', (2, 9), 0), ('b', (54, 47), 0), ('r', (4, 11), 0), ('b', (36, 27), 0), ('r', (18, 36), 4), ('r', (36, 54), -10), ('b', (63, 45), 12), ('r', (20, 27), 0), ('b', (34, 20), -54), ('b', (20, 2), -2), ('r', (9, 18), 0), ('b', (61, 54), 0), ('r', (22, 29), 0), ('b', (38, 20), -36), ('r', (13, 27), -7), ('b', (52, 43), 0), ('r', (15, 22), 0), ('b', (48, 41), 0), ('r', (0, 9), 0), ('b', (41, 32), 0), ('r', (6, 13), 0), ('b', (45, 38), 0), ('r', (18, 25), 0), ('b', (32, 18), -5), ('b', (18, 36), 3), ('r', (9, 18), 0), ('b', (50, 41), 0), ('r', (13, 20), 0), ('b', (2, 29), 0), ('b', (29, 15), -18), ('r', (18, 25), 0), ('b', (57, 50), 0), ('r', (25, 32), 0), ('b', (59, 52), 0), ('r', (16, 25), 0), ('b', (38, 31), 0), ('r', (25, 34), 0), ('b', (41, 27), 4), ('r', (32, 41), 0), ('b', (50, 32), -22)]","{'b': -146, 'r': -13}",r
"[('b', (41, 34), 0), ('r', (16, 25), 0), ('b', (34, 16), -13), ('r', (18, 25), 0), ('b', (16, 34), 9), ('r', (9, 16), 0), ('b', (45, 38), 0), ('r', (20, 29), 0), ('b', (38, 20), -6), ('r', (11, 29), -10), ('b', (54, 45), 0), ('r', (2, 9), 0), ('b', (45, 38), 0), ('r', (9, 18), 0), ('b', (38, 20), -70), ('r', (13, 27), 4), ('r', (27, 41), 0), ('b', (48, 34), 0), ('r', (0, 9), 0), ('b', (34, 25), 0), ('r', (18, 32), 0), ('b', (43, 36), 0), ('r', (4, 11), 0), ('b', (47, 38), 0), ('r', (6, 13), 0), ('b', (52, 45), 0), ('r', (11, 18), 0), ('b', (61, 52), 0), ('r', (13, 20), 0), ('b', (50, 41), 0), ('r', (32, 50), -8), ('b', (59, 41), -2), ('r', (18, 25), 0), ('b', (63, 54), 0), ('r', (22, 29), 0), ('b', (36, 22), -1), ('r', (15, 29), 0), ('r', (29, 47), -4), ('r', (47, 61), 0), ('r', (61, 43), 0), ('b', (45, 38), 0), ('r', (20, 27), 0), ('b', (57, 50), 0), ('r', (43, 57), -22), ('b', (41, 32), 0), ('r', (25, 34), 0), ('b', (32, 25), 0), ('r', (57, 48), 0), ('b', (25, 43), 64), ('r', (9, 18), 0), ('b', (38, 31), 0), ('r', (16, 25), 0), ('b', (43, 34), 0), ('r', (25, 43), -56), ('b', (31, 22), 0), ('r', (48, 57), 0), ('b', (22, 13), 0), ('r', (18, 25), 0), ('b', (13, 6), 0), ('r', (57, 48), 0), ('b', (6, 41), -2), ('r', (48, 34), 0)]","{'b': -21, 'r': -101}",b
