game_history,scores,winner
"[('b', (41, 34), 0), ('r', (18, 25), 0), ('b', (45, 36), 0), ('r', (9, 18), 0), ('b', (36, 29), 0), ('r', (20, 38), 5), ('b', (47, 29), 0), ('r', (22, 36), -13), ('b', (43, 29), -1), ('r', (25, 43), 9), ('b', (50, 36), -2), ('r', (16, 25), 0), ('b', (29, 22), 0), ('r', (13, 31), -18), ('b', (52, 45), 0), ('r', (2, 9), 0), ('b', (57, 50), 0), ('r', (4, 13), 0), ('b', (59, 52), 0), ('r', (9, 16), 0), ('b', (54, 47), 0), ('r', (0, 9), 0), ('b', (36, 29), 0), ('r', (11, 20), 0), ('b', (29, 11), -30), ('r', (18, 4), -4), ('b', (63, 54), 0), ('r', (4, 11), 0), ('b', (50, 43), 0), ('r', (9, 18), 0), ('b', (43, 34), 0), ('r', (25, 43), -44), ('b', (52, 34), 2), ('r', (11, 20), 0), ('b', (48, 41), 0), ('r', (13, 22), 0), ('b', (45, 38), 0), ('r', (31, 45), 7), ('r', (45, 63), -6), ('b', (41, 32), 0), ('r', (6, 13), 0), ('b', (34, 27), 0), ('r', (18, 36), -6), ('b', (32, 25), 0), ('r', (16, 34), 0), ('b', (47, 38), 0), ('r', (20, 27), 0), ('b', (38, 29), 0), ('r', (63, 54), 0), ('b', (29, 43), -14), ('b', (43, 25), -12), ('r', (13, 20), 0), ('b', (61, 47), -4), ('r', (20, 29), 0), ('b', (25, 18), 0), ('r', (27, 9), 1), ('b', (47, 38), 0), ('r', (29, 47), -6)]","{'b': -61, 'r': -85}",b
"[('b', (41, 34), 0), ('r', (18, 25), 0), ('b', (47, 38), 0), ('r', (20, 27), 0), ('b', (34, 20), -54), ('r', (11, 29), -2), ('r', (29, 47), 6), ('b', (45, 36), 0), ('r', (4, 11), 0), ('b', (52, 45), 0), ('r', (9, 18), 0), ('b', (43, 34), 0), ('r', (25, 43), -6), ('r', (43, 29), 1), ('b', (61, 52), 0), ('r', (47, 61), -2), ('r', (61, 43), -100), ('b', (50, 36), -26), ('r', (29, 43), 3), ('b', (57, 50), 0), ('r', (43, 57), -12), ('b', (45, 36), 0), ('r', (57, 29), -2), ('b', (59, 50), 0), ('r', (29, 57), 14), ('b', (63, 54), 0), ('r', (11, 20), 0), ('b', (54, 47), 0), ('r', (2, 9), 0), ('b', (47, 38), 0), ('r', (16, 25), 0), ('b', (48, 41), 0), ('r', (9, 16), 0), ('b', (38, 29), 0), ('r', (20, 38), 10), ('b', (41, 32), 0), ('r', (13, 20), 0)]","{'b': -80, 'r': -113}",b
"[('b', (45, 38), 0), ('r', (18, 25), 0), ('b', (38, 31), 0), ('r', (11, 18), 0), ('b', (52, 45), 0), ('r', (2, 11), 0), ('b', (45, 38), 0), ('r', (20, 27), 0), ('b', (54, 45), 0), ('r', (11, 20), 0), ('b', (43, 36), 0), ('r', (25, 32), 0), ('b', (61, 54), 0), ('r', (4, 11), 0), ('b', (50, 43), 0), ('r', (32, 50), -10), ('b', (59, 41), -8), ('r', (16, 25), 0), ('b', (38, 29), 0), ('r', (20, 38), 5), ('r', (38, 52), 35), ('r', (52, 34), 1), ('b', (41, 32), 0), ('r', (27, 45), 12), ('b', (54, 36), -11), ('r', (9, 16), 0), ('b', (47, 38), 0), ('r', (11, 20), 0), ('b', (63, 54), 0), ('r', (20, 29), 0), ('b', (38, 20), 32), ('r', (13, 27), -7), ('r', (27, 45), -8), ('r', (45, 63), -6), ('b', (31, 13), -10), ('r', (6, 20), 11), ('b', (57, 50), 0), ('r', (63, 45), 0), ('b', (50, 43), 0), ('r', (34, 52), 55), ('b', (48, 41), 0), ('r', (0, 9), 0), ('b', (41, 34), 0), ('r', (25, 43), 0), ('b', (32, 25), 0), ('r', (18, 32), 80)]","{'b': 3, 'r': 155}",r
"[('b', (41, 34), 0), ('r', (16, 25), 0), ('b', (34, 16), -13), ('r', (18, 25), 0), ('b', (16, 34), 9), ('r', (9, 16), 0), ('b', (50, 41), 0), ('r', (20, 29), 0), ('b', (47, 38), 0), ('r', (29, 47), 2), ('b', (34, 27), 0), ('r', (11, 18), 0), ('b', (27, 9), -1), ('r', (0, 18), -7), ('b', (59, 50), 0), ('r', (2, 9), 0), ('b', (43, 34), 0), ('r', (4, 11), 0), ('b', (34, 25), 0), ('r', (18, 32), 12), ('b', (52, 43), 0), ('r', (11, 18), 0), ('b', (45, 36), 0), ('r', (13, 20), 0), ('b', (36, 27), 0), ('r', (18, 36), 9), ('b', (43, 29), 1), ('b', (29, 11), -30), ('r', (6, 13), 0), ('b', (54, 45), 0), ('r', (9, 18), 0), ('b', (11, 25), 5), ('r', (16, 34), -1), ('b', (41, 27), 4), ('r', (13, 20), 0), ('b', (27, 13), -14), ('b', (13, 31), 27), ('r', (15, 22), 0), ('b', (31, 13), -3), ('r', (32, 41), 0), ('b', (48, 34), 0), ('r', (47, 54), 0), ('b', (61, 47), -11)]","{'b': -42, 'r': 15}",r
"[('b', (41, 32), 0), ('r', (20, 27), 0), ('b', (32, 25), 0), ('r', (16, 34), -1), ('b', (43, 25), 10), ('r', (18, 32), -6), ('b', (52, 43), 0), ('r', (9, 16), 0), ('b', (59, 52), 0), ('r', (2, 9), 0), ('b', (45, 36), 0), ('r', (27, 45), 5), ('r', (45, 59), -2), ('r', (59, 41), -4), ('b', (48, 34), 0), ('r', (11, 18), 0), ('b', (34, 25), 0), ('r', (16, 34), 0), ('r', (34, 52), -70), ('b', (61, 43), 35), ('r', (4, 11), 0), ('b', (57, 50), 0), ('r', (11, 20), 0), ('b', (47, 38), 0), ('r', (22, 29), 0), ('b', (54, 45), 0), ('r', (29, 47), -13), ('b', (43, 34), 0), ('r', (9, 16), 0), ('b', (34, 27), 0), ('r', (20, 34), -2), ('b', (45, 36), 0), ('r', (13, 20), 0), ('b', (50, 41), 0), ('r', (32, 50), -12), ('b', (36, 29), 0), ('r', (20, 38), -10), ('b', (63, 54), 0), ('r', (47, 61), -5)]","{'b': 45, 'r': -138}",b
"[('b', (45, 36), 0), ('r', (18, 25), 0), ('b', (41, 34), 0), ('r', (9, 18), 0), ('b', (52, 45), 0), ('r', (2, 9), 0), ('b', (61, 52), 0), ('r', (20, 29), 0), ('b', (34, 27), 0), ('r', (11, 20), 0), ('b', (43, 34), 0), ('r', (25, 43), -6), ('r', (43, 61), 0), ('b', (59, 52), 0), ('r', (61, 34), -2), ('b', (27, 41), 18), ('r', (29, 43), -6), ('b', (50, 36), -9), ('r', (4, 11), 0), ('b', (36, 27), 0), ('r', (18, 36), -4), ('b', (45, 27), 17), ('r', (20, 34), 1), ('b', (41, 27), -19), ('r', (11, 18), 0), ('b', (47, 38), 0), ('r', (18, 36), 17), ('b', (57, 50), 0), ('r', (9, 18), 0), ('b', (50, 43), 0), ('r', (36, 50), -3), ('b', (48, 41), 0), ('r', (50, 32), 0), ('b', (54, 45), 0), ('r', (16, 25), 0), ('b', (63, 54), 0), ('r', (0, 9), 0), ('b', (38, 29), 0), ('r', (22, 36), -13), ('b', (45, 27), 2), ('r', (18, 36), 2), ('b', (54, 47), 0), ('r', (9, 16), 0), ('b', (47, 38), 0), ('r', (15, 22), 0), ('b', (38, 31), 0), ('r', (6, 15), 0)]","{'b': 11, 'r': -19}",b
"[('b', (45, 36), 0), ('r', (18, 27), 0), ('b', (36, 18), -2), ('r', (9, 27), -6), ('b', (41, 34), 0), ('r', (27, 41), 0), ('b', (48, 34), 0), ('r', (0, 9), 0), ('b', (34, 25), 0), ('r', (16, 34), 0), ('b', (43, 25), 10), ('r', (11, 18), 0), ('b', (25, 11), 60), ('b', (11, 29), 1), ('r', (22, 36), -15), ('b', (57, 48), 0), ('r', (2, 11), 0), ('b', (52, 43), 0), ('r', (9, 16), 0), ('b', (43, 29), -2), ('r', (11, 20), 0), ('b', (29, 11), -50), ('r', (4, 18), 18), ('b', (61, 52), 0), ('r', (13, 20), 0), ('b', (50, 43), 0), ('r', (6, 13), 0), ('b', (59, 50), 0), ('r', (13, 22), 0), ('b', (52, 45), 0), ('r', (16, 25), 0), ('b', (50, 41), 0), ('r', (18, 27), 0), ('b', (45, 38), 0), ('r', (20, 29), 0), ('b', (38, 20), 15), ('b', (20, 34), -1), ('b', (34, 16), -7), ('r', (22, 29), 0), ('b', (43, 34), 0), ('r', (15, 22), 0), ('b', (34, 27), 0), ('r', (29, 36), 0), ('b', (27, 45), -14), ('r', (22, 29), 0), ('b', (45, 36), 0), ('r', (29, 43), 0), ('b', (41, 34), 0), ('r', (43, 25), 8), ('b', (16, 34), 0)]","{'b': -7, 'r': 5}",r
"[('b', (41, 32), 0), ('r', (16, 25), 0), ('b', (50, 41), 0), ('r', (9, 16), 0), ('b', (45, 36), 0), ('r', (20, 27), 0), ('b', (57, 50), 0), ('r', (27, 45), 5), ('b', (54, 36), -13), ('r', (2, 9), 0), ('b', (41, 34), 0), ('r', (11, 20), 0), ('b', (36, 27), 0), ('r', (18, 36), 6), ('b', (43, 29), -6), ('b', (29, 11), 60), ('r', (4, 18), 14), ('b', (63, 54), 0), ('r', (25, 43), -12), ('r', (43, 57), -7), ('b', (54, 45), 0), ('r', (13, 20), 0), ('b', (61, 54), 0), ('r', (6, 13), 0), ('b', (45, 38), 0), ('r', (16, 25), 0), ('b', (59, 50), 0), ('r', (57, 43), 64), ('r', (43, 61), 0), ('b', (54, 45), 0), ('r', (9, 16), 0), ('b', (48, 41), 0), ('r', (61, 52), 0), ('b', (45, 59), -18), ('r', (20, 29), 0), ('b', (38, 20), -6), ('b', (20, 6), -9), ('r', (22, 29), 0), ('b', (47, 38), 0), ('r', (29, 47), -13), ('b', (6, 27), 0), ('r', (18, 36), 12), ('b', (32, 18), -16), ('r', (36, 43), 0), ('b', (18, 11), 0), ('r', (43, 50), 0), ('b', (41, 34), 0), ('r', (0, 9), 0), ('b', (59, 41), -1), ('r', (9, 18), 0), ('b', (11, 25), -7), ('r', (15, 22), 0), ('b', (41, 32), 0), ('r', (22, 29), 0), ('b', (25, 18), 0), ('r', (16, 25), 0), ('b', (34, 16), 5), ('r', (29, 36), 0), ('b', (18, 9), 0), ('r', (36, 43), 0), ('b', (32, 25), 0), ('r', (43, 50), 0), ('b', (9, 2), 0), ('r', (47, 54), 0), ('b', (25, 18), 0), ('r', (50, 57), 0), ('b', (2, 20), 0), ('r', (57, 48), 0), ('b', (20, 38), 0), ('r', (48, 57), 0), ('b', (38, 52), 0), ('r', (57, 48), 0), ('b', (18, 9), 0), ('r', (48, 57), 0), ('b', (9, 2), 0), ('r', (57, 48), 0), ('b', (52, 34), 0), ('r', (48, 27), 36), ('b', (2, 29), 0), ('r', (27, 34), 0), ('b', (29, 57), 0), ('r', (34, 41), 0), ('b', (57, 48), 0), ('r', (41, 50), 0), ('b', (48, 41), 0), ('r', (50, 32), 0), ('b', (16, 9), 0), ('r', (32, 41), 0), ('b', (9, 2), 0), ('r', (41, 48), 0), ('b', (2, 47), 0), ('r', (48, 57), 0), ('b', (47, 61), 0), ('r', (57, 48), 0), ('b', (61, 52), 0), ('r', (48, 57), 0), ('b', (52, 38), 0), ('r', (57, 48), 0), ('b', (38, 29), 0), ('r', (48, 57), 0), ('b', (29, 43), 0), ('r', (57, 36), 0)]","{'b': -11, 'r': 105}",r
"[('b', (41, 34), 0), ('r', (16, 25), 0), ('b', (34, 16), -13), ('r', (18, 25), 0), ('b', (16, 34), 9), ('r', (9, 16), 0), ('b', (43, 36), 0), ('r', (0, 9), 0), ('b', (36, 27), 0), ('r', (22, 29), 0), ('b', (34, 25), 0), ('r', (16, 34), 0), ('b', (27, 41), -1), ('r', (9, 16), 0), ('b', (41, 32), 0), ('r', (11, 18), 0), ('b', (32, 25), 0), ('r', (16, 34), 0), ('b', (45, 38), 0), ('r', (2, 9), 0), ('b', (50, 41), 0), ('r', (4, 11), 0), ('b', (41, 27), -5), ('r', (18, 36), 13), ('b', (57, 50), 0), ('r', (9, 16), 0), ('b', (50, 43), 0), ('r', (36, 50), -1), ('b', (59, 41), 0), ('r', (11, 18), 0), ('b', (38, 31), 0), ('r', (18, 25), 0), ('b', (52, 45), 0), ('r', (20, 27), 0), ('b', (47, 38), 0), ('r', (29, 47), -13), ('b', (41, 32), 0), ('r', (13, 20), 0), ('b', (32, 18), 16), ('b', (18, 36), 2), ('r', (20, 27), 0), ('b', (36, 18), 5), ('r', (15, 22), 0), ('b', (31, 13), -1), ('r', (6, 20), 11), ('b', (45, 36), 0), ('r', (16, 25), 0), ('b', (18, 32), -40), ('r', (20, 27), 0), ('b', (36, 18), -1)]","{'b': -21, 'r': 1}",r
"[('b', (47, 38), 0), ('r', (18, 25), 0), ('b', (54, 47), 0), ('r', (11, 18), 0), ('b', (43, 34), 0), ('r', (25, 43), -6), ('b', (52, 34), -10), ('r', (20, 27), 0), ('b', (34, 20), 60), ('r', (13, 27), -13), ('b', (41, 34), 0), ('r', (27, 41), 0), ('b', (50, 32), 9), ('r', (2, 11), 0), ('b', (59, 52), 0), ('r', (4, 13), 0), ('b', (32, 25), 0), ('r', (18, 32), -30), ('b', (38, 31), 0), ('r', (9, 18), 0), ('b', (57, 50), 0), ('r', (32, 41), 0), ('b', (50, 32), -110), ('r', (11, 20), 0), ('b', (63, 54), 0), ('r', (16, 25), 0), ('b', (48, 41), 0), ('r', (20, 29), 0), ('b', (45, 36), 0), ('r', (29, 43), 5), ('b', (52, 34), -2), ('b', (34, 16), 4), ('r', (13, 20), 0), ('b', (31, 13), -5), ('b', (13, 27), -4), ('b', (27, 9), -1), ('r', (0, 18), 6), ('b', (41, 34), 0), ('r', (6, 13), 0), ('b', (34, 27), 0), ('r', (18, 36), 2), ('b', (47, 38), 0), ('r', (13, 20), 0), ('b', (54, 47), 0), ('r', (15, 22), 0), ('b', (61, 54), 0), ('r', (20, 27), 0), ('b', (16, 9), 0), ('r', (22, 29), 0), ('b', (38, 20), 0), ('b', (20, 34), 0), ('r', (36, 45), 0), ('b', (54, 36), -7)]","{'b': -79, 'r': -36}",r
"[('b', (43, 36), 0), ('r', (20, 29), 0), ('b', (50, 43), 0), ('r', (11, 20), 0), ('b', (41, 32), 0), ('r', (2, 11), 0), ('b', (36, 27), 0), ('r', (18, 36), -7), ('r', (36, 50), -4), ('b', (57, 43), 11), ('r', (9, 18), 0), ('b', (47, 38), 0), ('r', (29, 47), 2), ('b', (45, 38), 0), ('r', (47, 29), -6), ('b', (43, 34), 0), ('r', (16, 25), 0), ('b', (34, 16), -15), ('r', (18, 25), 0), ('b', (32, 18), -16), ('r', (11, 25), -14), ('b', (16, 34), 2), ('r', (20, 27), 0), ('b', (34, 20), -110), ('b', (20, 38), -5), ('r', (22, 29), 0), ('b', (38, 20), 99), ('r', (13, 27), 8), ('b', (52, 43), 0), ('r', (4, 11), 0), ('b', (43, 34), 0), ('r', (27, 41), -1), ('b', (48, 34), 0), ('r', (11, 18), 0), ('b', (59, 50), 0), ('r', (6, 13), 0), ('b', (54, 45), 0), ('r', (18, 25), 0), ('b', (34, 16), -8), ('r', (13, 20), 0), ('b', (50, 43), 0), ('r', (20, 29), 0), ('b', (16, 9), 0), ('r', (0, 18), 2), ('b', (63, 54), 0), ('r', (18, 25), 0), ('b', (45, 38), 0), ('r', (29, 47), -4), ('b', (54, 45), 0), ('r', (15, 22), 0), ('b', (45, 38), 0), ('r', (47, 29), -6), ('b', (43, 34), 0), ('r', (25, 43), 16), ('b', (61, 52), 0), ('r', (43, 61), -1)]","{'b': -42, 'r': -22}",r
"[('b', (47, 38), 0), ('r', (16, 25), 0), ('b', (45, 36), 0), ('r', (9, 16), 0), ('b', (54, 47), 0), ('r', (0, 9), 0), ('b', (36, 29), 0), ('r', (22, 36), -8), ('b', (43, 29), -1), ('r', (25, 32), 0), ('b', (41, 34), 0), ('r', (13, 22), 0), ('b', (34, 27), 0), ('r', (18, 36), 8), ('b', (29, 43), -6), ('r', (4, 13), 0), ('b', (38, 29), 0), ('r', (20, 38), 10), ('b', (47, 29), -2), ('r', (22, 36), 4), ('b', (43, 29), -2), ('r', (11, 18), 0), ('b', (61, 54), 0), ('r', (2, 11), 0), ('b', (29, 22), 0), ('r', (13, 31), 48), ('b', (54, 45), 0), ('r', (31, 38), 0), ('b', (45, 31), -40), ('r', (6, 13), 0), ('b', (52, 45), 0), ('r', (11, 20), 0), ('b', (45, 36), 0), ('r', (13, 22), 0), ('b', (31, 13), -16), ('b', (13, 27), 0), ('r', (16, 25), 0), ('b', (50, 41), 0), ('r', (32, 50), 1), ('b', (57, 43), -44), ('r', (9, 16), 0), ('b', (27, 9), -1), ('r', (16, 2), -1), ('b', (36, 29), 0), ('r', (2, 9), 0), ('b', (29, 22), 0), ('r', (15, 29), 0), ('b', (59, 52), 0), ('r', (9, 16), 0), ('b', (63, 54), 0), ('r', (25, 32), 0), ('b', (43, 36), 0), ('r', (29, 43), 0), ('r', (43, 61), 0), ('r', (61, 47), -4), ('b', (48, 41), 0), ('r', (32, 50), -7)]","{'b': -112, 'r': 46}",r
"[('b', (47, 38), 0), ('r', (16, 25), 0), ('b', (43, 34), 0), ('r', (25, 43), 24), ('b', (52, 34), 2), ('r', (20, 29), 0), ('b', (38, 20), 24), ('r', (13, 27), -7), ('b', (34, 20), -30), ('r', (11, 29), 1), ('b', (45, 38), 0), ('r', (29, 47), 11), ('b', (50, 43), 0), ('r', (2, 11), 0), ('b', (41, 32), 0), ('r', (4, 13), 0), ('b', (43, 36), 0), ('r', (9, 16), 0), ('b', (36, 27), 0), ('r', (18, 36), 2), ('b', (48, 41), 0), ('r', (0, 9), 0), ('b', (57, 50), 0), ('r', (9, 18), 0), ('b', (59, 52), 0), ('r', (11, 20), 0), ('b', (50, 43), 0), ('r', (36, 50), -12), ('b', (41, 59), 1), ('r', (16, 25), 0), ('b', (54, 45), 0), ('r', (18, 27), 0), ('b', (32, 18), -16), ('b', (18, 36), -11), ('r', (20, 27), 0), ('b', (36, 18), -14), ('r', (13, 20), 0), ('b', (63, 54), 0), ('r', (6, 13), 0), ('b', (18, 9), 0), ('r', (20, 27), 0), ('b', (52, 43), 0), ('r', (27, 34), 0), ('b', (43, 25), 16), ('r', (13, 20), 0), ('b', (25, 16), 0), ('r', (20, 27), 0), ('b', (45, 36), 0), ('r', (27, 45), -18), ('r', (45, 63), -22), ('r', (63, 0), 198), ('b', (16, 9), 0), ('r', (0, 18), -6), ('b', (59, 50), 0), ('r', (18, 25), 0), ('b', (50, 43), 0), ('r', (25, 52), 0), ('b', (61, 43), 110), ('r', (22, 29), 0), ('b', (43, 34), 0), ('r', (29, 36), 0), ('b', (34, 27), 0), ('r', (36, 18), -14)]","{'b': 82, 'r': 158}",r
"[('b', (41, 32), 0), ('r', (18, 25), 0), ('b', (32, 18), -10), ('r', (9, 27), 2), ('b', (48, 41), 0), ('r', (2, 9), 0), ('b', (41, 32), 0), ('r', (22, 29), 0), ('b', (43, 34), 0), ('r', (27, 41), -2), ('b', (32, 25), 0), ('r', (16, 34), 0), ('b', (50, 32), 21), ('r', (9, 16), 0), ('b', (52, 43), 0), ('r', (34, 52), 40), ('r', (52, 38), 3), ('b', (32, 25), 0), ('r', (16, 34), 1), ('b', (57, 50), 0), ('r', (0, 9), 0), ('b', (59, 52), 0), ('r', (9, 16), 0), ('b', (52, 43), 0), ('r', (34, 52), -40), ('b', (61, 43), 25), ('r', (11, 18), 0), ('b', (54, 45), 0), ('r', (38, 52), -28), ('r', (52, 34), -1), ('b', (47, 38), 0), ('r', (29, 47), -13), ('b', (50, 43), 0), ('r', (34, 52), -44), ('b', (63, 54), 0), ('r', (47, 61), -5)]","{'b': 36, 'r': -89}",b
"[('b', (41, 34), 0), ('r', (16, 25), 0), ('b', (34, 16), -13), ('r', (18, 25), 0), ('b', (16, 34), 9), ('r', (9, 16), 0), ('b', (34, 27), 0), ('r', (20, 34), -1), ('b', (43, 25), 12), ('r', (16, 34), -2), ('b', (52, 43), 0), ('r', (34, 52), -70), ('r', (52, 38), -8), ('b', (47, 29), -1), ('r', (22, 36), -13), ('b', (48, 41), 0), ('r', (0, 9), 0), ('b', (54, 45), 0), ('r', (36, 54), 1), ('b', (61, 47), 4), ('r', (11, 20), 0), ('b', (50, 43), 0), ('r', (9, 16), 0), ('b', (41, 34), 0), ('r', (2, 9), 0), ('b', (34, 25), 0), ('r', (16, 34), 0), ('r', (34, 52), -6), ('b', (59, 45), 10), ('r', (4, 11), 0), ('b', (45, 36), 0), ('r', (9, 16), 0), ('b', (47, 38), 0), ('r', (11, 18), 0), ('b', (36, 27), 0), ('r', (20, 34), 1), ('b', (57, 50), 0), ('r', (13, 20), 0), ('b', (50, 41), 0), ('r', (34, 48), 21), ('b', (38, 29), 0), ('r', (20, 38), -8), ('b', (63, 54), 0), ('r', (6, 13), 0), ('b', (54, 47), 0), ('r', (13, 20), 0), ('b', (47, 29), -1), ('b', (29, 11), -22), ('b', (11, 25), 10), ('r', (16, 34), -3)]","{'b': 8, 'r': -83}",b
"[('b', (43, 36), 0), ('r', (16, 25), 0), ('b', (41, 32), 0), ('r', (9, 16), 0), ('b', (36, 29), 0), ('r', (20, 38), 12), ('b', (47, 29), 0), ('r', (22, 36), -13), ('b', (45, 27), 8), ('b', (27, 9), 1), ('r', (0, 18), 1), ('b', (50, 41), 0), ('r', (2, 9), 0), ('b', (52, 45), 0), ('r', (11, 20), 0), ('b', (54, 47), 0), ('r', (4, 11), 0), ('b', (61, 54), 0), ('r', (20, 29), 0), ('b', (59, 50), 0), ('r', (11, 20), 0), ('b', (41, 34), 0), ('r', (25, 43), -12), ('b', (50, 36), 4), ('b', (36, 22), 0), ('b', (22, 4), 11), ('b', (4, 25), 20), ('r', (16, 34), -2), ('b', (47, 38), 0), ('r', (6, 13), 0), ('b', (32, 25), 0), ('r', (34, 16), 2), ('b', (38, 29), 0), ('r', (20, 38), 1), ('r', (38, 52), 80), ('b', (57, 50), 0), ('r', (9, 18), 0), ('b', (48, 41), 0), ('r', (13, 20), 0), ('b', (41, 34), 0), ('r', (15, 22), 0), ('b', (54, 47), 0), ('r', (16, 25), 0), ('b', (34, 16), 7), ('r', (18, 25), 0), ('b', (16, 34), 0), ('r', (20, 27), 0), ('b', (34, 20), 0), ('r', (22, 29), 0), ('b', (20, 38), 0), ('r', (52, 59), 0), ('b', (38, 31), 0), ('r', (59, 41), -2), ('b', (31, 22), 0), ('r', (41, 48), 0), ('b', (63, 54), 0), ('r', (48, 57), 0), ('b', (47, 38), 0), ('r', (57, 15), 16), ('b', (54, 45), 0), ('r', (15, 43), 0), ('b', (45, 36), 0), ('r', (43, 29), 8), ('r', (29, 47), 26)]","{'b': 51, 'r': 133}",r
"[('b', (41, 32), 0), ('r', (20, 27), 0), ('b', (32, 25), 0), ('r', (16, 34), -1), ('b', (43, 25), 10), ('r', (18, 32), -6), ('b', (47, 38), 0), ('r', (9, 16), 0), ('b', (50, 43), 0), ('r', (2, 9), 0), ('b', (45, 36), 0), ('r', (27, 45), 5), ('r', (45, 31), 24), ('b', (59, 50), 0), ('r', (9, 18), 0), ('b', (54, 45), 0), ('r', (0, 9), 0), ('b', (50, 41), 0), ('r', (32, 50), 7), ('r', (50, 36), 2), ('r', (36, 54), 0), ('b', (61, 47), -4), ('r', (11, 20), 0), ('b', (52, 43), 0), ('r', (4, 11), 0), ('b', (43, 34), 0), ('r', (16, 25), 0), ('b', (34, 16), 17), ('b', (16, 2), 5), ('r', (18, 25), 0), ('b', (48, 41), 0), ('r', (11, 18), 0), ('b', (2, 38), 40), ('r', (31, 45), 32), ('b', (57, 50), 0), ('r', (13, 20), 0), ('b', (41, 34), 0), ('r', (25, 43), 0), ('r', (43, 57), -16), ('b', (47, 38), 0), ('r', (45, 31), -30), ('b', (63, 54), 0), ('r', (18, 25), 0), ('b', (54, 45), 0), ('r', (6, 13), 0), ('b', (45, 36), 0), ('r', (57, 29), -6)]","{'b': 68, 'r': -8}",b
"[('b', (41, 32), 0), ('r', (16, 25), 0), ('b', (50, 41), 0), ('r', (9, 16), 0), ('b', (47, 38), 0), ('r', (20, 29), 0), ('b', (38, 20), 24), ('r', (11, 29), 2), ('b', (45, 36), 0), ('r', (0, 9), 0), ('b', (59, 50), 0), ('r', (2, 11), 0), ('b', (41, 34), 0), ('r', (11, 20), 0), ('b', (54, 45), 0), ('r', (4, 11), 0), ('b', (48, 41), 0), ('r', (18, 27), 0), ('b', (32, 18), -5), ('b', (18, 4), -17), ('r', (9, 18), 0), ('b', (4, 25), -14), ('r', (22, 31), 0), ('b', (36, 22), -1), ('b', (22, 4), 2), ('r', (6, 13), 0), ('b', (4, 22), 0), ('r', (31, 13), -20), ('b', (63, 54), 0), ('r', (13, 22), 0), ('b', (57, 48), 0), ('r', (22, 31), 0), ('b', (45, 38), 0), ('r', (31, 45), -16), ('r', (45, 59), -19), ('b', (25, 18), 0), ('r', (27, 9), 0), ('b', (61, 52), 0), ('r', (59, 45), -28), ('r', (45, 63), -36), ('b', (34, 27), 0), ('r', (63, 18), -24), ('b', (43, 36), 0), ('r', (18, 45), -6), ('b', (41, 34), 0), ('r', (9, 18), 0), ('b', (50, 41), 0), ('r', (45, 52), 0), ('b', (41, 32), 0), ('r', (52, 25), -18), ('b', (48, 41), 0), ('r', (15, 22), 0), ('b', (41, 34), 0), ('r', (25, 43), 198), ('b', (32, 25), 0), ('r', (16, 34), -1)]","{'b': -11, 'r': 1}",r
"[('b', (45, 38), 0), ('r', (16, 25), 0), ('b', (38, 29), 0), ('r', (20, 38), 5), ('b', (47, 29), 0), ('r', (22, 36), -13), ('b', (43, 29), -1), ('r', (25, 32), 0), ('b', (50, 43), 0), ('r', (32, 50), -5), ('r', (50, 36), 7), ('r', (36, 22), 0), ('b', (52, 43), 0), ('r', (9, 16), 0), ('b', (59, 50), 0), ('r', (0, 9), 0), ('b', (43, 36), 0), ('r', (11, 20), 0), ('b', (54, 45), 0), ('r', (2, 11), 0), ('b', (63, 54), 0), ('r', (16, 25), 0), ('b', (61, 52), 0), ('r', (9, 16), 0), ('b', (50, 43), 0), ('r', (18, 27), 0), ('b', (36, 18), 9), ('b', (18, 32), -70), ('r', (22, 29), 0), ('b', (54, 47), 0), ('r', (11, 18), 0), ('b', (32, 25), 0), ('r', (16, 34), 0), ('b', (43, 25), 10), ('b', (25, 11), -40), ('r', (4, 18), 16), ('b', (57, 50), 0), ('r', (13, 22), 0), ('b', (50, 41), 0), ('r', (18, 25), 0), ('b', (45, 38), 0), ('r', (20, 27), 0), ('b', (38, 20), -28), ('b', (20, 34), -1), ('b', (34, 16), -15), ('r', (6, 13), 0), ('b', (52, 43), 0), ('r', (13, 20), 0), ('b', (16, 9), 0), ('r', (20, 27), 0), ('b', (41, 34), 0), ('r', (27, 41), 1), ('b', (48, 34), 0), ('r', (22, 29), 0), ('b', (47, 38), 0), ('r', (29, 47), -5), ('b', (43, 36), 0), ('r', (15, 22), 0), ('b', (36, 29), 0), ('r', (22, 36), 5), ('b', (34, 27), 0), ('r', (36, 18), 0), ('r', (18, 0), 0)]","{'b': -136, 'r': 8}",r
